review_id,user_id,movie_id,rating,review_date,device_type,is_verified_watch,helpful_votes,total_votes,review_text,sentiment,sentiment_score
review_000001,user_07066,movie_0360,4,2025-03-29,Mobile,False,3.0,5.0,Fantastic cinematography and plot twists.,positive,0.711
review_000002,user_02953,movie_0095,5,2024-07-19,Mobile,True,2.0,2.0,This series is a masterpiece!,positive,0.645
review_000003,user_05528,movie_0518,4,2025-02-11,Tablet,True,2.0,5.0,Fantastic cinematography and plot twists.,positive,0.73
review_000004,user_07612,movie_0672,5,2025-11-26,Mobile,True,7.0,7.0,One of the best series I've ever watched. Highly recommend!,positive,0.798
review_000005,user_03424,movie_0580,3,2025-07-11,Mobile,True,1.0,5.0,Mixed feelings about this one.,neutral,0.41
review_000006,user_07263,movie_0708,3,2025-01-06,Tablet,True,4.0,5.0,Okay for a one-time watch.,neutral,
review_000007,user_07818,movie_0081,2,2025-01-18,Smart TV,True,4.0,7.0,Not worth the time. Very predictable.,negative,0.106
review_000008,user_03744,movie_0526,1,2025-09-26,Smart TV,True,1.0,4.0,,negative,0.251
review_000009,user_04454,movie_0551,4,2024-02-02,Mobile,True,1.0,5.0,This movie exceeded my expectations.,positive,0.737
review_000010,user_02897,movie_0800,3,2025-03-22,Tablet,True,5.0,10.0,Could have been better.,neutral,0.451
review_000011,user_03810,movie_0072,1,2025-01-14,Tablet,True,1.0,9.0,Waste of time. Poor character development.,negative,0.195
review_000012,user_05988,movie_0705,5,2024-05-29,Smart TV,True,2.0,7.0,Outstanding direction and screenplay.,positive,0.876
review_000013,user_05899,movie_0756,3,2024-08-10,Mobile,True,7.0,7.0,Average movie. Some good moments.,neutral,0.597
review_000014,user_09390,movie_0167,3,2025-02-08,Laptop,True,2.0,4.0,Mixed feelings about this one.,neutral,0.573
review_000015,user_03348,movie_0168,3,2025-08-16,Smart TV,True,,,Okay for a one-time watch.,neutral,0.418
review_000016,user_05227,movie_0795,5,2025-06-26,Laptop,True,1.0,6.0,Amazing show! Couldn't stop watching.,positive,0.83
review_000017,user_03773,movie_0617,3,2025-04-22,Laptop,False,6.0,6.0,Decent watch but forgettable.,neutral,0.534
review_000018,user_06318,movie_0884,4,2024-04-14,Tablet,True,5.0,5.0,Perfect blend of drama and action.,positive,0.817
review_000019,user_01737,movie_0844,2,2025-10-07,Mobile,True,4.0,5.0,Not worth the time. Very predictable.,negative,0.114
review_000020,user_03823,movie_0239,2,2025-09-07,Mobile,True,2.0,2.0,Not worth the time. Very predictable.,negative,0.29
review_000021,user_05692,movie_0302,3,2024-01-28,Tablet,True,2.0,3.0,It's fine for background watching.,neutral,0.505
review_000022,user_08264,movie_0316,4,2024-08-12,Tablet,True,7.0,7.0,One of the best series I've ever watched. Highly recommend!,positive,0.901
review_000023,user_02227,movie_0695,5,2024-02-21,Laptop,True,4.0,4.0,Outstanding direction and screenplay.,positive,0.98
review_000024,user_00469,movie_0520,4,2025-06-24,Smart TV,False,4.0,4.0,One of the best series I've ever watched. Highly recommend!,positive,0.891
review_000025,user_05895,movie_0483,3,2025-02-01,Smart TV,True,3.0,3.0,Watchable but predictable.,neutral,0.464
review_000026,user_01426,movie_0956,4,2024-07-05,Laptop,False,3.0,4.0,This series is a masterpiece!,positive,0.968
review_000027,user_04616,movie_0664,4,2024-04-04,Laptop,True,2.0,7.0,Outstanding direction and screenplay.,positive,0.93
review_000028,user_07133,movie_0076,4,2025-08-06,Tablet,True,2.0,6.0,Brilliant performance by the cast. Must watch!,positive,0.923
review_000029,user_09189,movie_0968,4,2025-07-20,Tablet,True,4.0,4.0,Brilliant performance by the cast. Must watch!,positive,0.912
review_000030,user_00732,movie_0578,5,2025-09-30,Smart TV,False,7.0,7.0,Incredible story telling. Kept me engaged throughout.,positive,0.847
review_000031,user_05960,movie_0064,4,2024-07-22,Tablet,True,3.0,5.0,Fantastic cinematography and plot twists.,positive,0.803
review_000032,user_08860,movie_0293,4,2024-11-25,Mobile,True,2.0,4.0,This series is a masterpiece!,positive,0.797
review_000033,user_08495,movie_0118,4,2025-05-09,Laptop,True,4.0,4.0,Fantastic cinematography and plot twists.,positive,0.766
review_000034,user_09677,movie_0253,3,2025-04-24,Mobile,True,3.0,3.0,Okay for a one-time watch.,neutral,0.428
review_000035,user_09061,movie_0460,5,2025-05-11,Mobile,False,0.0,8.0,Amazing show! Couldn't stop watching.,positive,
review_000036,user_09396,movie_0518,5,2024-03-13,Laptop,True,4.0,6.0,Perfect blend of drama and action.,positive,0.676
review_000037,user_07561,movie_0473,4,2024-07-07,Mobile,False,,,Incredible story telling. Kept me engaged throughout.,positive,0.826
review_000038,user_00615,movie_0069,2,2024-03-31,Smart TV,True,4.0,11.0,Not worth the time. Very predictable.,negative,0.149
review_000039,user_04048,movie_0663,2,2024-06-07,Smart TV,True,2.0,8.0,Not my cup of tea. Too violent.,negative,0.041
review_000040,user_05154,movie_0209,3,2024-07-23,Tablet,True,2.0,3.0,It was okay. Nothing special.,neutral,0.577
review_000041,user_08556,movie_0702,5,2024-09-30,Laptop,False,3.0,13.0,Perfect blend of drama and action.,positive,0.885
review_000042,user_00162,movie_0091,5,2024-07-22,Smart TV,False,6.0,6.0,Brilliant performance by the cast. Must watch!,positive,0.84
review_000043,user_02521,movie_0897,4,2024-06-07,Mobile,True,1.0,3.0,Incredible story telling. Kept me engaged throughout.,positive,0.652
review_000044,user_07498,movie_0576,4,2025-09-13,Laptop,False,1.0,5.0,Brilliant performance by the cast. Must watch!,positive,0.825
review_000045,user_06476,movie_0376,5,2024-01-03,Mobile,True,4.0,4.0,This movie exceeded my expectations.,positive,0.782
review_000046,user_05756,movie_0554,3,2024-08-29,Mobile,True,,,Mixed feelings about this one.,neutral,
review_000047,user_04400,movie_0668,4,2024-10-26,Laptop,True,1.0,3.0,This series is a masterpiece!,positive,0.883
review_000048,user_07143,movie_0884,3,2024-01-20,Laptop,True,2.0,8.0,Watchable but predictable.,neutral,0.58
review_000049,user_09574,movie_0747,4,2024-10-14,Smart TV,True,2.0,7.0,Amazing show! Couldn't stop watching.,positive,0.999
review_000050,user_06877,movie_0732,3,2024-10-11,Mobile,True,3.0,3.0,Okay for a one-time watch.,neutral,0.543
review_000051,user_05377,movie_0238,2,2025-11-18,Laptop,True,1.0,5.0,"Boring storyline, couldn't finish watching.",negative,
review_000052,user_09084,movie_0331,4,2025-01-19,Mobile,True,5.0,5.0,Outstanding direction and screenplay.,positive,
review_000053,user_08152,movie_0364,1,2025-05-23,Smart TV,True,3.0,5.0,Poor acting and weak plot.,negative,0.357
review_000054,user_06649,movie_0783,4,2024-11-03,Smart TV,True,5.0,6.0,Absolutely loved this movie. Great acting and storyline.,positive,0.71
review_000055,user_06173,movie_0728,2,2024-12-15,Laptop,True,0.0,0.0,Waste of time. Poor character development.,negative,0.004
review_000056,user_05427,movie_0117,5,2025-10-03,Tablet,True,2.0,5.0,Brilliant performance by the cast. Must watch!,positive,
review_000057,user_03748,movie_0947,2,2025-08-16,Mobile,True,,,Not worth the time. Very predictable.,negative,0.134
review_000058,user_09368,movie_0151,4,2025-02-27,Smart TV,True,2.0,12.0,One of the best series I've ever watched. Highly recommend!,positive,0.663
review_000059,user_07037,movie_0642,3,2024-03-07,Laptop,True,,,It was okay. Nothing special.,neutral,0.482
review_000060,user_05912,movie_0325,3,2025-02-03,Tablet,True,4.0,4.0,Not bad but not great either.,neutral,0.53
review_000061,user_02066,movie_0505,4,2024-03-14,Mobile,False,3.0,5.0,,positive,0.755
review_000062,user_02489,movie_0907,5,2025-01-05,Smart TV,True,1.0,11.0,Brilliant performance by the cast. Must watch!,positive,0.786
review_000063,user_07515,movie_0400,2,2025-09-13,Mobile,True,1.0,7.0,Confusing plot. Hard to follow.,negative,0.111
review_000064,user_04534,movie_0664,3,2025-05-23,Laptop,True,,,It's fine for background watching.,neutral,0.437
review_000065,user_01919,movie_0682,5,2025-07-16,Mobile,False,4.0,4.0,Absolutely loved this movie. Great acting and storyline.,positive,0.67
review_000066,user_07117,movie_0676,3,2025-09-29,Tablet,True,6.0,8.0,Not bad but not great either.,neutral,0.481
review_000067,user_04277,movie_0257,5,2024-10-18,Tablet,True,4.0,5.0,This movie exceeded my expectations.,positive,0.835
review_000068,user_02042,movie_0236,4,2025-07-08,Smart TV,True,3.0,6.0,Outstanding direction and screenplay.,positive,
review_000069,user_02877,movie_0484,3,2024-10-25,Smart TV,True,1.0,2.0,Could have been better.,neutral,0.471
review_000070,user_06949,movie_0101,2,2024-02-29,Laptop,True,4.0,4.0,,negative,0.295
